image,mean_h,mean_s,mean_b,std_h,std_s,std_b,fourier_slope,fourier_sigma,first_order_ed,second_order_ed,edge_density,entropy,fractal_D
bedroom__183.png,0.12777714660312564,0.6287131419875366,0.5911384803921566,0.14896783717430995,0.24480466360839062,0.24104773476469174,-2.815434534607678,0.013757639723670615,4.1012319907236385,4.247343157478547,399.7710280939633,7.700957097699533,1.748854703543556
bedroom__184.png,0.38243136117154747,0.2126381351074403,0.49368530433006547,0.34582441397767966,0.19962572904426953,0.23951774361508116,-2.8503386459665774,0.009314685728137848,3.724579264017033,4.005030909564051,381.44750408503506,7.559135623273226,1.7669995611401856
bedroom__185.png,0.18583426795732033,0.20973490095791092,0.6887110013276145,0.22461478587572764,0.28100721948741936,0.19124010713387787,-2.8138120211706035,0.009847417009025847,4.206138436497919,4.156565526567815,203.71981919287612,7.273229945038124,1.8596126313881705
bedroom__186.png,0.3967131541583418,0.49318956749012227,0.5276295445261437,0.22548847344322187,0.34975336893291364,0.23365455871486268,-3.062246256410617,0.0062277112399697935,3.679155073928974,3.9609768000952648,351.37171382882656,7.554410106199681,1.6839920659081908
bedroom__187.png,0.32621695626982666,0.1667775387024668,0.48934201388888887,0.2898366874616221,0.17149185734811898,0.20345695578154202,-2.7598477854989145,0.007947233369998646,4.167778128838496,4.257186166391226,272.91769511856984,7.464906409444437,1.7586665201544602
bedroom__188.png,0.258846930278529,0.1055227989080808,0.6234102583741831,0.13608140256620707,0.11143905163501507,0.22456698979268003,-2.5115587163948,0.011669461735030471,4.141473204593242,4.353316917941242,297.70992849359413,7.697856275654777,1.8640850058273273
bedroom__189.png,0.11401023419851117,0.4852775756247282,0.45858083129084964,0.15005570232106136,0.27270636748770755,0.28009185427032857,-3.061913875401231,0.005136637274587311,4.132255014598703,4.323132637978793,325.12641062977787,7.7059502798512405,1.6731186347900404
bedroom__19.png,0.21792622190124328,0.3945959134832619,0.41231064899918307,0.22463384182666443,0.2888575840230134,0.19279027064171808,-2.7179853524096034,0.01090197544496696,4.1468777291204875,4.337596895884269,371.8620456096162,7.471977313435596,1.6633317212669811
bedroom__190.png,0.46443293578150235,0.14629968589969303,0.41259797538807175,0.40257555943052664,0.08899289778851475,0.288879833929824,-3.0258807211180745,0.011842250300131217,3.387141500144101,3.673709773823872,263.5410933875995,7.633429640424854,1.6818781927499056
bedroom__191.png,0.1831770377234963,0.396486658766425,0.5076032858455882,0.20407092760599746,0.26463815048589284,0.1686590971301779,-2.7637428831472555,0.011738359554670825,4.229697553669023,4.322235361638088,303.87971031919665,7.3001179926554345,1.7464900108872528
bedroom__192.png,0.19452338892033802,0.43383471274429203,0.3033772084354575,0.1637903638805395,0.28456849332389766,0.21573778010508515,-2.7230131860931692,0.02533105906112878,3.826251837801636,4.128499427537399,272.08600766443544,7.362447361148017,1.4846932042296614
bedroom__193.png,0.22735930214637018,0.119883700654794,0.6790124719158496,0.2580508919161865,0.17178120072080813,0.2055941775600903,-2.694772382465425,0.026155018672894215,4.370801366093728,4.2977943121653865,192.0310438715794,7.188171514265977,1.893181168286418
bedroom__194.png,0.3062916722866049,0.1904172069024837,0.546242608762255,0.3821270230712877,0.1393378190991852,0.26087632866462174,-2.9764260821272557,0.006911939664556785,3.8114833156872585,3.9690997391453386,279.0592956589426,7.645093711043931,1.7628630344216336
